kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel1_gpu,1465,1,1,8047,128,24,0,24,0,1,1030000,
covariance_kernel2_gpu,1472,1,1,8047,128,24,0,24,0,1,1030000,
covariance_kernel1_gpu_mem,6512,1,1,8047,128,8240024,0,24,8240000,1,1030000,
covariance_kernel2_gpu_mem,9732,1,1,8047,128,16480040,0,24,16480016,1,1030000,
covariance_kernel1_cpu,258,0,1,1,168,0,0,0,0,1,1031000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1031000,
covariance_kernel1_gpu,1531,1,1,8055,128,24,0,24,0,1,1031000,
covariance_kernel2_gpu,1536,1,1,8055,128,24,0,24,0,1,1031000,
covariance_kernel1_gpu_mem,8619,1,1,8055,128,8248024,0,24,8248000,1,1031000,
covariance_kernel2_gpu_mem,13345,1,1,8055,128,16496040,0,24,16496016,1,1031000,
covariance_kernel1_cpu,261,0,1,1,168,0,0,0,0,1,1032000,
covariance_kernel2_cpu,129,0,1,1,168,0,0,0,0,1,1032000,
covariance_kernel1_gpu,1530,1,1,8063,128,24,0,24,0,1,1032000,
covariance_kernel2_gpu,1532,1,1,8063,128,24,0,24,0,1,1032000,
covariance_kernel1_gpu_mem,8578,1,1,8063,128,8256024,0,24,8256000,1,1032000,
covariance_kernel2_gpu_mem,13258,1,1,8063,128,16512040,0,24,16512016,1,1032000,
covariance_kernel1_cpu,375,0,1,1,168,0,0,0,0,1,1033000,
covariance_kernel2_cpu,257,0,1,1,168,0,0,0,0,1,1033000,
covariance_kernel1_gpu,1463,1,1,8071,128,24,0,24,0,1,1033000,
covariance_kernel2_gpu,1476,1,1,8071,128,24,0,24,0,1,1033000,
covariance_kernel1_gpu_mem,6529,1,1,8071,128,8264024,0,24,8264000,1,1033000,
covariance_kernel2_gpu_mem,9796,1,1,8071,128,16528040,0,24,16528016,1,1033000,
covariance_kernel1_cpu,261,0,1,1,168,0,0,0,0,1,1034000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1034000,
covariance_kernel1_gpu,1531,1,1,8079,128,24,0,24,0,1,1034000,
covariance_kernel2_gpu,1540,1,1,8079,128,24,0,24,0,1,1034000,
covariance_kernel1_gpu_mem,8556,1,1,8079,128,8272024,0,24,8272000,1,1034000,
covariance_kernel2_gpu_mem,13304,1,1,8079,128,16544040,0,24,16544016,1,1034000,
covariance_kernel1_cpu,253,0,1,1,168,0,0,0,0,1,1035000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1035000,
covariance_kernel1_gpu,1534,1,1,8086,128,24,0,24,0,1,1035000,
covariance_kernel2_gpu,1535,1,1,8086,128,24,0,24,0,1,1035000,
covariance_kernel1_gpu_mem,8615,1,1,8086,128,8280024,0,24,8280000,1,1035000,
covariance_kernel2_gpu_mem,13312,1,1,8086,128,16560040,0,24,16560016,1,1035000,
covariance_kernel1_cpu,249,0,1,1,168,0,0,0,0,1,1036000,
covariance_kernel2_cpu,130,0,1,1,168,0,0,0,0,1,1036000,
covariance_kernel1_gpu,1468,1,1,8094,128,24,0,24,0,1,1036000,
covariance_kernel2_gpu,1477,1,1,8094,128,24,0,24,0,1,1036000,
covariance_kernel1_gpu_mem,6549,1,1,8094,128,8288024,0,24,8288000,1,1036000,
covariance_kernel2_gpu_mem,10102,1,1,8094,128,16576040,0,24,16576016,1,1036000,
covariance_kernel1_cpu,264,0,1,1,168,0,0,0,0,1,1037000,
covariance_kernel2_cpu,135,0,1,1,168,0,0,0,0,1,1037000,
covariance_kernel1_gpu,1541,1,1,8102,128,24,0,24,0,1,1037000,
covariance_kernel2_gpu,1539,1,1,8102,128,24,0,24,0,1,1037000,
covariance_kernel1_gpu_mem,8655,1,1,8102,128,8296024,0,24,8296000,1,1037000,
covariance_kernel2_gpu_mem,13533,1,1,8102,128,16592040,0,24,16592016,1,1037000,
covariance_kernel1_cpu,254,0,1,1,168,0,0,0,0,1,1038000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1038000,
covariance_kernel1_gpu,1544,1,1,8110,128,24,0,24,0,1,1038000,
covariance_kernel2_gpu,1539,1,1,8110,128,24,0,24,0,1,1038000,
covariance_kernel1_gpu_mem,8534,1,1,8110,128,8304024,0,24,8304000,1,1038000,
covariance_kernel2_gpu_mem,13468,1,1,8110,128,16608040,0,24,16608016,1,1038000,
covariance_kernel1_cpu,255,0,1,1,168,0,0,0,0,1,1039000,
covariance_kernel2_cpu,134,0,1,1,168,0,0,0,0,1,1039000,
covariance_kernel1_gpu,739,1,1,8118,128,24,0,24,0,1,1039000,
covariance_kernel2_gpu,746,1,1,8118,128,24,0,24,0,1,1039000,
