kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,,,
nn_kernel_cpu,68183,0,1,1,128,0,0,0,0,1,10450000,,,
nn_kernel_gpu,305,1,1,81641,128,0,0,0,0,1,10450000,,,
nn_kernel_gpu_mem,21154,1,1,81641,128,83600000,41800000,41800000,83600000,1,10450000,,,
nn_kernel_cpu,67763,0,1,1,128,0,0,0,0,1,10460000,,,
nn_kernel_gpu,311,1,1,81719,128,0,0,0,0,1,10460000,,,
nn_kernel_gpu_mem,21281,1,1,81719,128,83680000,41840000,41840000,83680000,1,10460000,,,
nn_kernel_cpu,67737,0,1,1,128,0,0,0,0,1,10470000,,,
nn_kernel_gpu,309,1,1,81797,128,0,0,0,0,1,10470000,,,
nn_kernel_gpu_mem,21276,1,1,81797,128,83760000,41880000,41880000,83760000,1,10470000,,,
nn_kernel_cpu,70286,0,1,1,128,0,0,0,0,1,10480000,,,
nn_kernel_gpu,306,1,1,81875,128,0,0,0,0,1,10480000,,,
nn_kernel_gpu_mem,21391,1,1,81875,128,83840000,41920000,41920000,83840000,1,10480000,,,
nn_kernel_cpu,69087,0,1,1,128,0,0,0,0,1,10490000,,,
nn_kernel_gpu,309,1,1,81954,128,0,0,0,0,1,10490000,,,
nn_kernel_gpu_mem,21405,1,1,81954,128,83920000,41960000,41960000,83920000,1,10490000,,,
nn_kernel_cpu,67852,0,1,1,128,0,0,0,0,1,10500000,,,
nn_kernel_gpu,311,1,1,82032,128,0,0,0,0,1,10500000,,,
nn_kernel_gpu_mem,21525,1,1,82032,128,84000000,42000000,42000000,84000000,1,10500000,,,
nn_kernel_cpu,66501,0,1,1,128,0,0,0,0,1,1050000,,,
nn_kernel_gpu,149,1,1,8204,128,0,0,0,0,1,1050000,,,
nn_kernel_gpu_mem,3293,1,1,8204,128,8400000,4200000,4200000,8400000,1,1050000,,,
nn_kernel_cpu,67814,0,1,1,128,0,0,0,0,1,10510000,,,
nn_kernel_gpu,304,1,1,82110,128,0,0,0,0,1,10510000,,,
nn_kernel_gpu_mem,21424,1,1,82110,128,84080000,42040000,42040000,84080000,1,10510000,,,
nn_kernel_cpu,68025,0,1,1,128,0,0,0,0,1,10520000,,,
nn_kernel_gpu,308,1,1,82188,128,0,0,0,0,1,10520000,,,
nn_kernel_gpu_mem,21728,1,1,82188,128,84160000,42080000,42080000,84160000,1,10520000,,,
nn_kernel_cpu,72471,0,1,1,128,0,0,0,0,1,10530000,,,
nn_kernel_gpu,307,1,1,82266,128,0,0,0,0,1,10530000,,,
nn_kernel_gpu_mem,21642,1,1,82266,128,84240000,42120000,42120000,84240000,1,10530000,,,
nn_kernel_cpu,67471,0,1,1,128,0,0,0,0,1,10540000,,,
nn_kernel_gpu,309,1,1,82344,128,0,0,0,0,1,10540000,,,
nn_kernel_gpu_mem,21679,1,1,82344,128,84320000,42160000,42160000,84320000,1,10540000,,,
nn_kernel_cpu,41607,0,1,1,128,0,0,0,0,1,10550000,,,
nn_kernel_gpu,308,1,1,82422,128,0,0,0,0,1,10550000,,,
nn_kernel_gpu_mem,21575,1,1,82422,128,84400000,42200000,42200000,84400000,1,10550000,,,
nn_kernel_cpu,43035,0,1,1,128,0,0,0,0,1,10560000,,,
nn_kernel_gpu,313,1,1,82500,128,0,0,0,0,1,10560000,,,
nn_kernel_gpu_mem,21514,1,1,82500,128,84480000,42240000,42240000,84480000,1,10560000,,,
nn_kernel_cpu,68133,0,1,1,128,0,0,0,0,1,10570000,,,
nn_kernel_gpu,307,1,1,82579,128,0,0,0,0,1,10570000,,,
nn_kernel_gpu_mem,20431,1,1,82579,128,84560000,42280000,42280000,84560000,1,10570000,,,
nn_kernel_cpu,67676,0,1,1,128,0,0,0,0,1,10580000,,,
nn_kernel_gpu,308,1,1,82657,128,0,0,0,0,1,10580000,,,
nn_kernel_gpu_mem,21698,1,1,82657,128,84640000,42320000,42320000,84640000,1,10580000,,,
nn_kernel_cpu,67378,0,1,1,128,0,0,0,0,1,10590000,,,
