kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,855866,1,1,64000000,8000000,8000000,72000000,3,1000,4000,1000
mm_kernel_gpu_mem,17268,1,2,64000000,8000000,8000000,72000000,3,1000,4000,1000
mm_kernel_gpu,838789,1,1,0,0,0,0,3,1000,4000,1000
mm_kernel_gpu_collapse,12040,1,2,0,0,0,0,3,1000,4000,1000
mm_kernel_cpu,2352231,0,1,0,0,0,0,3,1000,3000,8000
mm_kernel_cpu_collapse,2235838,0,2,0,0,0,0,3,1000,3000,8000
mm_kernel_gpu_mem,5011537,1,1,216000000,64000000,64000000,280000000,3,1000,3000,8000
mm_kernel_gpu_mem,225275,1,2,216000000,64000000,64000000,280000000,3,1000,3000,8000
mm_kernel_gpu,4960555,1,1,0,0,0,0,3,1000,3000,8000
mm_kernel_gpu_collapse,207257,1,2,0,0,0,0,3,1000,3000,8000
mm_kernel_cpu,2352231,0,1,0,0,0,0,3,1000,3000,8000
mm_kernel_cpu_collapse,2235838,0,2,0,0,0,0,3,1000,3000,8000
mm_kernel_gpu_mem,5011537,1,1,216000000,64000000,64000000,280000000,3,1000,3000,8000
mm_kernel_gpu_mem,225275,1,2,216000000,64000000,64000000,280000000,3,1000,3000,8000
mm_kernel_gpu,4960555,1,1,0,0,0,0,3,1000,3000,8000
mm_kernel_gpu_collapse,207257,1,2,0,0,0,0,3,1000,3000,8000
mm_kernel_cpu,466287,0,1,0,0,0,0,3,1000,4000,2000
mm_kernel_cpu_collapse,403686,0,2,0,0,0,0,3,1000,4000,2000
mm_kernel_gpu_mem,1703142,1,1,96000000,16000000,16000000,112000000,3,1000,4000,2000
mm_kernel_gpu_mem,58992,1,2,96000000,16000000,16000000,112000000,3,1000,4000,2000
mm_kernel_gpu,1679228,1,1,0,0,0,0,3,1000,4000,2000
mm_kernel_gpu_collapse,50576,1,2,0,0,0,0,3,1000,4000,2000
mm_kernel_cpu,2743502,0,1,0,0,0,0,3,1000,3000,9000
mm_kernel_cpu_collapse,2588388,0,2,0,0,0,0,3,1000,3000,9000
mm_kernel_gpu_mem,5618136,1,1,240000000,72000000,72000000,312000000,3,1000,3000,9000
mm_kernel_gpu_mem,252216,1,2,240000000,72000000,72000000,312000000,3,1000,3000,9000
mm_kernel_gpu,5560060,1,1,0,0,0,0,3,1000,3000,9000
mm_kernel_gpu_collapse,234141,1,2,0,0,0,0,3,1000,3000,9000
mm_kernel_cpu,700889,0,1,0,0,0,0,3,1000,4000,3000
mm_kernel_cpu_collapse,660619,0,2,0,0,0,0,3,1000,4000,3000
mm_kernel_gpu_mem,2569940,1,1,128000000,24000000,24000000,152000000,3,1000,4000,3000
mm_kernel_gpu_mem,97059,1,2,128000000,24000000,24000000,152000000,3,1000,4000,3000
mm_kernel_gpu,2541248,1,1,0,0,0,0,3,1000,4000,3000
mm_kernel_gpu_collapse,87157,1,2,0,0,0,0,3,1000,4000,3000
mm_kernel_cpu,700889,0,1,0,0,0,0,3,1000,4000,3000
mm_kernel_cpu_collapse,660619,0,2,0,0,0,0,3,1000,4000,3000
mm_kernel_gpu_mem,2569940,1,1,128000000,24000000,24000000,152000000,3,1000,4000,3000
mm_kernel_gpu_mem,97059,1,2,128000000,24000000,24000000,152000000,3,1000,4000,3000
mm_kernel_gpu,2541248,1,1,0,0,0,0,3,1000,4000,3000
mm_kernel_gpu_collapse,87157,1,2,0,0,0,0,3,1000,4000,3000
mm_kernel_cpu,960689,0,1,0,0,0,0,3,1000,4000,4000
mm_kernel_cpu_collapse,987224,0,2,0,0,0,0,3,1000,4000,4000
mm_kernel_gpu_mem,3408001,1,1,160000000,32000000,32000000,192000000,3,1000,4000,4000
mm_kernel_gpu_mem,140212,1,2,160000000,32000000,32000000,192000000,3,1000,4000,4000
mm_kernel_gpu,3379453,1,1,0,0,0,0,3,1000,4000,4000
mm_kernel_gpu_collapse,126460,1,2,0,0,0,0,3,1000,4000,4000
mm_kernel_cpu,1349930,0,1,0,0,0,0,3,1000,4000,5000
mm_kernel_cpu_collapse,1343551,0,2,0,0,0,0,3,1000,4000,5000
mm_kernel_gpu_mem,4260034,1,1,192000000,40000000,40000000,232000000,3,1000,4000,5000
mm_kernel_gpu_mem,178883,1,2,192000000,40000000,40000000,232000000,3,1000,4000,5000
mm_kernel_gpu,4239576,1,1,0,0,0,0,3,1000,4000,5000
mm_kernel_gpu_collapse,162645,1,2,0,0,0,0,3,1000,4000,5000
mm_kernel_cpu,4644035,0,1,0,0,0,0,3,1000,4000,10000
mm_kernel_cpu_collapse,6045697,0,2,0,0,0,0,3,1000,4000,10000
mm_kernel_gpu_mem,8381665,1,1,352000000,80000000,80000000,432000000,3,1000,4000,10000
mm_kernel_gpu_mem,378506,1,2,352000000,80000000,80000000,432000000,3,1000,4000,10000
mm_kernel_gpu,8351776,1,1,0,0,0,0,3,1000,4000,10000
mm_kernel_gpu_collapse,350493,1,2,0,0,0,0,3,1000,4000,10000
mm_kernel_cpu,1826448,0,1,0,0,0,0,3,1000,4000,6000
mm_kernel_cpu_collapse,1697887,0,2,0,0,0,0,3,1000,4000,6000
mm_kernel_gpu_mem,5152081,1,1,224000000,48000000,48000000,272000000,3,1000,4000,6000
mm_kernel_gpu_mem,219271,1,2,224000000,48000000,48000000,272000000,3,1000,4000,6000
mm_kernel_gpu,5099691,1,1,0,0,0,0,3,1000,4000,6000
mm_kernel_gpu_collapse,202802,1,2,0,0,0,0,3,1000,4000,6000
