kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,5004111,1,1,79,128,176000000,80000000,80000000,256000000,3,10000,2000,1000
mm_kernel_gpu_mem,991351,1,2,78125,128,176000000,80000000,80000000,256000000,3,10000,2000,1000
mm_kernel_gpu,4798166,1,1,79,128,0,0,0,0,3,10000,2000,1000
mm_kernel_gpu_collapse,943069,1,2,78125,128,0,0,0,0,3,10000,2000,1000
mm_kernel_cpu,2857871,0,1,1,28,0,0,0,0,3,10000,2000,2000
mm_kernel_cpu_collapse,2763309,0,2,1,28,0,0,0,0,3,10000,2000,2000
mm_kernel_gpu_mem,9831314,1,1,79,128,192000000,160000000,160000000,352000000,3,10000,2000,2000
mm_kernel_gpu_mem,1935844,1,2,156250,128,192000000,160000000,160000000,352000000,3,10000,2000,2000
mm_kernel_gpu,9610595,1,1,79,128,0,0,0,0,3,10000,2000,2000
mm_kernel_gpu_collapse,1857434,1,2,156250,128,0,0,0,0,3,10000,2000,2000
mm_kernel_cpu,3122895,0,1,1,28,0,0,0,0,3,10000,2000,3000
mm_kernel_cpu_collapse,3008227,0,2,1,28,0,0,0,0,3,10000,2000,3000
mm_kernel_gpu_mem,14675682,1,1,79,128,208000000,240000000,240000000,448000000,3,10000,2000,3000
mm_kernel_gpu_mem,3133141,1,2,234375,128,208000000,240000000,240000000,448000000,3,10000,2000,3000
mm_kernel_gpu,14430784,1,1,79,128,0,0,0,0,3,10000,2000,3000
mm_kernel_gpu_collapse,3039666,1,2,234375,128,0,0,0,0,3,10000,2000,3000
mm_kernel_cpu,8370857,0,1,1,28,0,0,0,0,3,10000,2000,4000
mm_kernel_cpu_collapse,8273604,0,2,1,28,0,0,0,0,3,10000,2000,4000
mm_kernel_gpu_mem,19477040,1,1,79,128,224000000,320000000,320000000,544000000,3,10000,2000,4000
mm_kernel_gpu_mem,3880525,1,2,312500,128,224000000,320000000,320000000,544000000,3,10000,2000,4000
mm_kernel_gpu,19242351,1,1,79,128,0,0,0,0,3,10000,2000,4000
mm_kernel_gpu_collapse,3754524,1,2,312500,128,0,0,0,0,3,10000,2000,4000
mm_kernel_cpu,4671911,0,1,1,28,0,0,0,0,3,10000,2000,5000
mm_kernel_cpu_collapse,4487627,0,2,1,28,0,0,0,0,3,10000,2000,5000
mm_kernel_gpu_mem,24335830,1,1,79,128,240000000,400000000,400000000,640000000,3,10000,2000,5000
mm_kernel_gpu_mem,5097428,1,2,390625,128,240000000,400000000,400000000,640000000,3,10000,2000,5000
mm_kernel_gpu,24070908,1,1,79,128,0,0,0,0,3,10000,2000,5000
mm_kernel_gpu_collapse,4942701,1,2,390625,128,0,0,0,0,3,10000,2000,5000
mm_kernel_cpu,8418308,0,1,1,28,0,0,0,0,3,10000,2000,6000
mm_kernel_cpu_collapse,8348833,0,2,1,28,0,0,0,0,3,10000,2000,6000
mm_kernel_gpu_mem,29228945,1,1,79,128,256000000,480000000,480000000,736000000,3,10000,2000,6000
mm_kernel_gpu_mem,5772269,1,2,468750,128,256000000,480000000,480000000,736000000,3,10000,2000,6000
mm_kernel_gpu,28915922,1,1,79,128,0,0,0,0,3,10000,2000,6000
mm_kernel_gpu_collapse,5600931,1,2,468750,128,0,0,0,0,3,10000,2000,6000
mm_kernel_cpu,7121341,0,1,1,28,0,0,0,0,3,10000,2000,7000
mm_kernel_cpu_collapse,6994931,0,2,1,28,0,0,0,0,3,10000,2000,7000
mm_kernel_gpu_mem,34060793,1,1,79,128,272000000,560000000,560000000,832000000,3,10000,2000,7000
mm_kernel_gpu_mem,7096867,1,2,546875,128,272000000,560000000,560000000,832000000,3,10000,2000,7000
mm_kernel_gpu,33721592,1,1,79,128,0,0,0,0,3,10000,2000,7000
mm_kernel_gpu_collapse,6927510,1,2,546875,128,0,0,0,0,3,10000,2000,7000
mm_kernel_cpu,9200518,0,1,1,28,0,0,0,0,3,10000,2000,9000
mm_kernel_cpu_collapse,9041706,0,2,1,28,0,0,0,0,3,10000,2000,9000
mm_kernel_gpu_mem,43794804,1,1,79,128,304000000,720000000,720000000,1024000000,3,10000,2000,9000
mm_kernel_gpu_mem,9201697,1,2,703125,128,304000000,720000000,720000000,1024000000,3,10000,2000,9000
mm_kernel_gpu,43472940,1,1,79,128,0,0,0,0,3,10000,2000,9000
