kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,1880110,1,2,65536,128,152000008,720000000,720000008,872000000,3,10000,1000,9000
mm_kernel_gpu,5075827,1,1,79,128,8,0,8,0,3,10000,1000,9000
mm_kernel_gpu_collapse,1724877,1,2,65536,128,8,0,8,0,3,10000,1000,9000
mm_kernel_cpu,66243237,0,1,1,40,0,0,0,0,3,10000,2000,10000
mm_kernel_cpu_collapse,68292767,0,2,1,40,0,0,0,0,3,10000,2000,10000
mm_kernel_gpu_mem,12252709,1,1,79,128,320000008,800000000,800000008,1120000000,3,10000,2000,10000
mm_kernel_gpu_mem,3957588,1,2,65536,128,320000008,800000000,800000008,1120000000,3,10000,2000,10000
mm_kernel_gpu,11752847,1,1,79,128,8,0,8,0,3,10000,2000,10000
mm_kernel_gpu_collapse,3778397,1,2,65536,128,8,0,8,0,3,10000,2000,10000
mm_kernel_cpu,5476837,0,1,1,40,0,0,0,0,3,10000,2000,1000
mm_kernel_cpu_collapse,5336168,0,2,1,40,0,0,0,0,3,10000,2000,1000
mm_kernel_gpu_mem,1156884,1,1,79,128,176000008,80000000,80000008,256000000,3,10000,2000,1000
mm_kernel_gpu_mem,340338,1,2,65536,128,176000008,80000000,80000008,256000000,3,10000,2000,1000
mm_kernel_gpu,1081492,1,1,79,128,8,0,8,0,3,10000,2000,1000
mm_kernel_gpu_collapse,304534,1,2,65536,128,8,0,8,0,3,10000,2000,1000
mm_kernel_cpu,11264380,0,1,1,40,0,0,0,0,3,10000,2000,2000
mm_kernel_cpu_collapse,11214149,0,2,1,40,0,0,0,0,3,10000,2000,2000
mm_kernel_gpu_mem,2341837,1,1,79,128,192000008,160000000,160000008,352000000,3,10000,2000,2000
mm_kernel_gpu_mem,755953,1,2,65536,128,192000008,160000000,160000008,352000000,3,10000,2000,2000
mm_kernel_gpu,2222320,1,1,79,128,8,0,8,0,3,10000,2000,2000
mm_kernel_gpu_collapse,713792,1,2,65536,128,8,0,8,0,3,10000,2000,2000
mm_kernel_cpu,18224837,0,1,1,40,0,0,0,0,3,10000,2000,3000
mm_kernel_cpu_collapse,18012489,0,2,1,40,0,0,0,0,3,10000,2000,3000
mm_kernel_gpu_mem,3559780,1,1,79,128,208000008,240000000,240000008,448000000,3,10000,2000,3000
mm_kernel_gpu_mem,1138951,1,2,65536,128,208000008,240000000,240000008,448000000,3,10000,2000,3000
mm_kernel_gpu,3430588,1,1,79,128,8,0,8,0,3,10000,2000,3000
mm_kernel_gpu_collapse,1071854,1,2,65536,128,8,0,8,0,3,10000,2000,3000
mm_kernel_cpu,25651740,0,1,1,40,0,0,0,0,3,10000,2000,4000
mm_kernel_cpu_collapse,25179844,0,2,1,40,0,0,0,0,3,10000,2000,4000
mm_kernel_gpu_mem,4804875,1,1,79,128,224000008,320000000,320000008,544000000,3,10000,2000,4000
mm_kernel_gpu_mem,1527298,1,2,65536,128,224000008,320000000,320000008,544000000,3,10000,2000,4000
mm_kernel_gpu,4609348,1,1,79,128,8,0,8,0,3,10000,2000,4000
mm_kernel_gpu_collapse,1442898,1,2,65536,128,8,0,8,0,3,10000,2000,4000
mm_kernel_cpu,31760263,0,1,1,40,0,0,0,0,3,10000,2000,5000
mm_kernel_cpu_collapse,31252184,0,2,1,40,0,0,0,0,3,10000,2000,5000
